,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,better_rank
3623,Brian Ebersole,TJ Waldburger,-230,190,43.47826087,190.0,6/22/2012,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,2,0,2,1,6,0,0,0,1,0,2,0,3,Orthodox,180.34,190.5,170,0,3,0,3,0,7,0,0,1,1,1,0,0,3,Southpaw,182.88,185.42,170,31,24,0,-1,-1,0,-1,-1,0,-1,2,-2.54,5.08,7,-12.91666667,2.166666667,0.5,0,1,neither
3624,Ross Pearson,Cub Swanson,-215,195,46.51162791,195.0,6/22/2012,"Atlantic City, New Jersey, USA", USA,Blue,False,Featherweight,MALE,3,0,1,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,172.72,177.8,145,0,1,0,3,2,19,1,0,0,4,0,0,1,5,Orthodox,172.72,175.26,155,27,28,0,0,-2,-4,1,-15,-1,0,0,0.0,2.54,-1,-24.85714286,0.5,0.7857142859999999,0,1,neither
3625,Hatsu Hioki,Ricardo Lamas,-165,155,60.60606061,155.0,6/22/2012,"Atlantic City, New Jersey, USA", USA,Blue,False,Featherweight,MALE,3,0,2,0,2,0,3,0,0,0,0,1,1,0,2,Orthodox,172.72,180.34,145,0,2,0,2,0,6,0,0,1,1,0,0,0,2,Orthodox,180.34,177.8,145,28,30,0,0,0,0,0,-3,0,1,1,-7.62,2.54,-2,-33.0,-0.5,-0.5,0,1,neither
3626,Ramsey Nijem,CJ Keith,-150,140,66.66666667,140.0,6/22/2012,"Atlantic City, New Jersey, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.0,155,0,1,0,1,1,4,1,0,0,1,0,0,0,1,Orthodox,180.34,190.5,155,24,25,0,-1,-1,-1,1,-4,-1,0,0,2.54,-5.5,-1,-35.5,-2.0,-4.0,0,1,neither
3627,Rick Story,Brock Jardine,-370,330,27.02702703,330.0,6/22/2012,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,2,0,0,6,3,25,0,0,2,2,1,1,0,6,Southpaw,175.26,180.34,170,27,26,2,0,-6,-6,3,-25,0,-1,-1,5.08,5.08,1,-43.0,-1.4444444440000002,-2.666666667,0,1,neither
3628,Steven Siler,Joey Gambino,110,-120,110.0,83.33333333,6/22/2012,"Atlantic City, New Jersey, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,178.0,145,0,2,0,2,0,6,0,0,0,2,0,0,0,2,Orthodox,180.34,177.8,145,25,23,0,-2,-2,-2,0,-6,0,0,0,-10.16,0.2,2,-76.5,-1.5,-0.5,0,1,neither
3629,Nick Catone,Chris Camozzi,-210,190,47.61904762,190.0,6/22/2012,"Atlantic City, New Jersey, USA", USA,Blue,False,Middleweight,MALE,3,0,1,0,2,2,13,0,0,1,1,0,1,0,3,Orthodox,187.96,193.04,185,0,2,0,2,2,13,0,0,1,1,0,1,0,3,Southpaw,182.88,182.88,185,30,25,0,-1,0,0,0,0,0,0,0,5.08,10.16,5,13.0,0.0,-3.0,0,1,neither
3630,Matt Brown,Luis Ramos,-155,145,64.51612903,145.0,6/22/2012,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,183.0,170,0,2,0,3,5,27,0,0,0,2,4,1,0,7,Orthodox,182.88,190.5,170,31,31,-1,-2,-3,-7,4,-26,0,-4,-1,-10.16,-7.5,0,-25.08333333,-1.25,-1.166666667,0,1,neither
3631,Dan Miller,Ricardo Funch,-330,300,30.303030300000003,300.0,6/22/2012,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,3,0,0,0,3,6,0,0,0,0,0,0,0,0,Southpaw,177.8,193.04,170,2,0,0,3,5,25,0,0,1,1,0,3,0,5,Orthodox,185.42,187.96,185,30,31,-1,0,-3,-5,2,-19,0,0,-3,-7.62,5.08,-1,-12.83333333,-1.1,-1.066666667,0,1,neither
3632,Ken Stone,Dustin Pague,140,-150,140.0,66.66666667,6/22/2012,"Atlantic City, New Jersey, USA", USA,Red,False,Bantamweight,MALE,3,0,1,0,1,1,2,0,0,0,0,0,1,0,1,Orthodox,175.26,187.96,135,0,1,0,1,1,2,0,0,0,0,0,1,0,1,Orthodox,172.72,180.34,135,29,24,0,0,0,0,0,0,0,0,0,2.54,7.62,5,-8.0,0.0,-0.5,0,1,neither
3633,Demetrious Johnson,Ian McCall,-110,100,90.90909091,100.0,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Flyweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,125,2,0,0,2,2,14,1,0,0,2,0,0,0,2,Orthodox,160.02,167.64,125,25,28,1,0,-2,-2,1,-11,-1,0,0,5.08,-5.08,-3,13.75,0.0,0.0,0,1,neither
3634,Erick Silva,Charlie Brenneman,-185,170,54.05405405,170.0,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,2,2,15,0,0,0,4,0,0,0,4,Orthodox,177.8,182.88,155,1,0,0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,170,27,31,1,1,1,3,-1,13,0,-1,0,-5.08,-5.08,-4,11.33333333,0.0,3.0,0,1,neither
3635,Mike Pyle,Josh Neer,-190,175,52.63157895,175.0,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Welterweight,MALE,3,0,2,0,2,6,28,0,0,0,2,0,3,1,6,Orthodox,180.34,182.88,170,0,1,0,3,3,17,0,0,0,2,1,2,0,5,Orthodox,182.88,187.96,170,36,29,0,1,-1,1,-3,11,0,0,1,-2.54,-5.08,7,12.20833333,0.083333333,-0.41666666700000005,0,1,neither
3636,Eddie Wineland,Scott Jorgensen,150,-160,150.0,62.5,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Bantamweight,MALE,3,1,0,0,2,1,7,0,0,0,1,1,0,0,2,Orthodox,165.1,167.64,135,2,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,135,27,29,1,0,2,2,1,1,0,1,0,-5.08,-7.62,-2,25.83333333,0.0,1.5,0,1,neither
3637,Mike Pierce,Carlos Eduardo Rocha,-230,190,43.47826087,190.0,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,1,1,4,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,170,1,0,0,3,3,23,0,0,1,2,1,1,0,5,Orthodox,172.72,177.8,170,31,30,0,0,-2,-4,2,-19,0,-1,0,5.08,0.0,1,-28.875,1.125,-2.625,0,1,neither
3638,Seth Baczynski,Lance Benoist,-105,-105,95.23809524,95.23809524,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,170,0,2,0,2,1,7,0,0,0,0,0,2,0,2,Orthodox,190.5,187.96,170,30,23,0,-1,-1,-1,1,-4,0,0,-2,-10.16,-2.54,7,12.33333333,-1.6666666669999999,0.666666667,0,1,neither
3639,Leonard Garcia,Matt Grice,-125,115,80.0,115.0,6/8/2012,"Sunrise, Florida, USA", USA,Blue,False,Featherweight,MALE,3,3,0,0,1,4,7,0,0,1,0,0,0,0,1,Orthodox,172.72,177.8,145,2,0,0,1,4,15,0,0,1,0,0,1,0,2,Orthodox,177.8,175.26,145,32,30,-1,0,0,-1,0,-8,0,0,-1,-5.08,2.54,2,-16.2,-0.3,0.46666666700000003,0,1,neither
3640,Dustin Pague,Jared Papazian,150,-160,150.0,62.5,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Bantamweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,172.72,170.18,135,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,135,24,24,0,0,0,0,0,2,0,0,0,-2.54,-17.78,0,65.0,0.0,0.0,0,1,neither
3641,Tim Means,Justin Salas,-130,120,76.92307692,120.0,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Southpaw,172.72,177.8,155,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,187.96,190.5,170,28,30,0,0,0,0,0,0,0,0,0,-15.24,-12.7,-2,-33.0,0.0,4.0,0,1,neither
3642,Buddy Roberts,Caio Magalhaes,-130,120,76.92307692,120.0,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.0,185,29,24,0,0,0,0,0,0,0,0,0,-2.54,-7.58,5,0.0,0.0,0.0,0,1,neither
3643,Henry Martinez,Bernardo Magalhaes,-230,210,43.47826087,210.0,6/8/2012,"Sunrise, Florida, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,165.1,155,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,170.18,172.72,155,28,31,0,0,0,0,0,0,0,0,0,5.08,-7.62,-3,-39.0,0.0,0.0,0,1,neither
3644,Jake Hecht,Sean Pierson,-155,145,64.51612903,145.0,6/8/2012,"Sunrise, Florida, USA", USA,Blue,False,Welterweight,MALE,3,2,0,0,1,2,7,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,170,1,0,0,1,1,3,0,0,0,0,1,0,0,1,Orthodox,182.88,193.04,170,28,36,-1,0,0,0,-1,4,0,-1,0,0.0,0.0,-8,31.5,0.333333333,0.333333333,0,1,neither
3645,Jake Ellenberger,Martin Kampmann,-178,167,56.17977528,167.0,6/1/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,5,0,2,0,4,4,29,0,0,2,2,1,5,0,10,Orthodox,182.88,182.88,170,0,6,0,6,1,16,0,0,1,1,3,0,1,6,Orthodox,175.26,180.34,170,27,30,0,-4,-2,4,-3,13,0,-3,5,7.62,2.54,-3,5.28571429,1.071428571,-1.357142857,0,1,neither
3646,Michael Chiesa,Al Iaquinta,240,-260,240.0,38.46153846,6/1/2012,"Las Vegas, Nevada, USA", USA,Red,True,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,190.5,170,24,25,0,0,0,0,0,0,0,0,0,-7.62,-12.7,-1,0.0,0.0,0.0,0,1,neither
3647,Jonathan Brookins,Charles Oliveira,185,-200,185.0,50.0,6/1/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3,0,1,0,2,3,9,0,0,0,0,0,3,0,3,Orthodox,177.8,187.96,155,0,1,0,1,1,7,1,0,0,1,1,0,0,2,Southpaw,182.88,185.42,145,26,22,0,0,1,1,-2,2,-1,-1,3,-5.08,2.54,4,-9.33333333,1.333333333,-1.0,0,1,neither
3648,Max Holloway,Pat Schilling,-140,130,71.42857143,130.0,6/1/2012,"Las Vegas, Nevada, USA", USA,Red,False,Featherweight,MALE,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,145,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,180.34,175.26,155,20,23,0,0,0,0,0,0,0,0,0,-7.62,0.0,-3,-7.0,0.0,0.0,0,1,neither
3649,Justin Lawrence,John Cofer,-345,315,28.98550725,315.0,6/1/2012,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,175.26,185.42,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,170.18,145,22,28,0,0,0,0,0,0,0,0,0,2.54,15.24,-6,0.0,0.0,0.0,0,1,neither
3650,Daron Cruickshank,Chris Tickle,-174,164,57.47126437,164.0,6/1/2012,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,178.0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,172.72,182.88,155,26,30,0,0,0,0,0,0,0,0,0,2.54,-4.88,-4,0.0,0.0,0.0,0,1,neither
3651,Myles Jury,Chris Saunders,-310,280,32.25806452,280.0,6/1/2012,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,145,23,26,0,0,0,0,0,0,0,0,0,-5.08,-10.42,-3,0.0,0.0,0.0,0,1,neither
3652,Cristiano Marcello,Sam Sicilia,177,-192,177.0,52.08333333,6/1/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,170.18,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,34,26,0,0,0,0,0,0,0,0,0,-2.54,-12.7,8,0.0,0.0,0.0,0,1,neither
3653,Joe Proctor,Jeremy Larsen,-280,255,35.71428571,255.0,6/1/2012,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,26,28,0,0,0,0,0,0,0,0,0,0.0,-5.08,-2,0.0,0.0,0.0,0,1,neither
3654,John Albert,Erik Perez,-185,170,54.05405405,170.0,6/1/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,135,1,0,0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,172.72,172.72,135,25,22,1,0,-1,-1,1,-2,0,-1,0,0.0,0.0,3,-26.0,-1.5,0.0,0,1,neither
3655,Junior Dos Santos,Frank Mir,-475,420,21.05263158,420.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Red,True,Heavyweight,MALE,5,0,3,0,4,5,28,4,0,0,2,3,8,0,14,Southpaw,190.5,200.66,264,0,8,0,8,0,14,1,0,0,2,6,0,0,8,Orthodox,193.04,195.58,238,28,33,0,-5,-4,6,-5,14,3,-3,8,-2.54,5.08,-5,-31.25657895,1.052631579,0.625,0,1,neither
3656,Cain Velasquez,Antonio Silva,-400,355,25.0,355.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,203.2,264,1,0,0,7,1,12,2,0,0,1,6,0,0,7,Orthodox,185.42,195.58,240,29,32,1,0,-7,-7,1,-12,-2,-6,0,7.62,7.62,-3,-37.5,-0.25,-1.875,0,1,neither
3657,Roy Nelson,Dave Herman,-162,152,61.72839506,152.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,1,0,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,193.04,193.04,242,1,0,0,2,3,14,1,0,0,0,3,0,0,3,Orthodox,182.88,182.88,263,35,27,0,0,-1,-2,2,-10,-1,-2,0,10.16,10.16,8,30.33333333,-0.166666667,0.0,0,1,neither
3658,Stipe Miocic,Shane del Rosario,-170,150,58.82352941,150.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,193.04,200.66,250,0,2,0,2,0,4,0,0,0,1,1,0,0,2,Orthodox,193.04,203.2,240,29,28,0,-2,-2,-2,0,-4,0,-1,0,0.0,-2.54,1,-38.0,0.0,-2.0,0,1,neither
3659,Stefan Struve,Lavar Johnson,-130,120,76.92307692,120.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,0,2,0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,193.04,208.28,240,0,2,0,3,3,16,0,1,0,0,3,3,0,7,Orthodox,210.82,213.36,265,24,34,0,0,-1,-5,3,-14,0,-1,-3,-17.78,-5.08,-10,33.8,-1.7,-0.3,0,1,neither
3660,Diego Brandao,Darren Elkins,-260,240,38.46153846,240.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Featherweight,MALE,3,0,2,0,2,1,8,0,0,0,2,1,0,0,3,Orthodox,177.8,180.34,145,0,1,0,1,0,1,1,0,0,0,0,1,0,1,Orthodox,170.18,172.72,145,24,28,0,1,1,2,-1,7,-1,1,-1,7.62,7.62,-4,7.25,-0.25,0.0,0,1,neither
3661,Edson Barboza,Jamie Varner,-540,460,18.51851852,460.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,0,1,0,1,1,4,0,0,0,0,0,1,0,1,Orthodox,172.72,182.88,155,0,4,0,4,0,12,0,0,1,1,2,0,0,4,Orthodox,180.34,190.5,155,26,27,0,-3,-3,-3,-1,-8,0,-2,1,-7.62,-7.62,-1,-35.25,1.0,4.0,0,1,neither
3662,Jason Miller,CB Dollaway,-155,145,64.51612903,145.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,MALE,3,2,0,0,3,4,14,1,0,0,2,1,2,0,5,Orthodox,187.96,193.04,185,2,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,185.42,182.88,185,31,28,0,0,3,5,-2,8,1,1,2,2.54,10.16,3,-10.5,0.8888888890000001,0.8888888890000001,0,1,neither
3663,Dan Hardy,Duane Ludwig,-130,120,76.92307692,120.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,2,3,13,0,0,1,2,1,0,0,4,Orthodox,177.8,177.8,170,4,0,0,4,4,22,1,0,2,1,1,0,0,4,Orthodox,182.88,187.96,170,30,33,3,0,-2,0,1,-9,-1,0,0,-5.08,-10.16,-3,13.51785714,-0.375,-0.23214285699999998,0,1,neither
3664,Jacob Volkmann,Paul Sass,-190,175,52.63157895,175.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,0,2,0,2,0,2,0,0,0,0,0,2,0,2,Orthodox,182.88,185.42,155,0,5,0,5,2,19,0,0,2,3,0,0,0,5,Southpaw,175.26,180.34,155,31,23,0,-3,-3,-3,2,-17,0,0,2,7.62,5.08,8,-14.85714286,1.642857143,-2.714285714,0,1,neither
3665,Kyle Kingsbury,Glover Teixeira,215,-235,215.0,42.55319149,5/26/2012,"Las Vegas, Nevada, USA", USA,Blue,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,205,1,0,0,4,2,16,0,0,1,2,1,0,0,4,Orthodox,193.04,193.04,205,30,32,1,0,-4,-4,2,-16,0,-1,0,-5.08,0.0,-2,-41.5,0.0,-2.666666667,0,1,neither
3666,Mike Brown,Daniel Pineda,-118,108,84.74576271,108.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Red,False,Featherweight,MALE,3,0,2,0,2,0,2,0,0,0,0,0,2,0,2,Orthodox,170.18,175.26,145,0,1,0,1,3,10,0,0,0,1,0,0,0,1,Orthodox,167.64,177.8,145,36,26,0,1,1,1,3,-8,0,0,2,2.54,-2.54,10,-22.5,1.5,-2.25,0,1,neither
3667,Chan Sung Jung,Dustin Poirier,290,-350,290.0,28.57142857,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Featherweight,MALE,5,0,4,0,4,0,9,0,0,0,2,0,2,0,4,Southpaw,175.26,182.88,155,0,2,0,2,0,3,0,0,0,0,1,1,0,2,Orthodox,170.18,182.88,145,25,23,0,2,2,2,0,6,0,-1,1,5.08,0.0,2,27.5,0.5,1.25,0,1,neither
3668,Amir Sadollah,Jorge Lopez,-105,-105,95.23809524,95.23809524,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,183.0,170,1,0,0,2,3,19,1,0,0,3,1,1,0,5,Orthodox,177.8,187.96,170,31,23,0,0,-2,-5,2,-16,-1,-1,-1,0.0,-4.96,8,-18.25,-0.25,2.5,0,1,neither
3669,Donald Cerrone,Jeremy Stephens,-220,200,45.45454545,200.0,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,2,6,34,0,0,1,2,3,0,1,7,Orthodox,172.72,180.34,145,1,0,0,4,1,10,0,0,0,1,1,2,0,4,Orthodox,185.42,185.42,155,29,25,0,0,-2,3,-5,24,0,3,-2,-12.7,-5.08,4,-19.90769231,0.215384615,0.784615385,0,1,neither
3670,Yves Jabouin,Jeff Hougland,-305,275,32.78688525,275.0,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Bantamweight,MALE,3,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,135,0,2,0,2,1,7,0,0,2,0,0,0,0,2,Orthodox,170.18,172.72,135,32,33,0,-1,-1,-1,1,-4,0,0,0,0.0,0.0,-1,32.33333333,4.0,-0.333333333,0,1,neither
3671,Igor Pokrajac,Fabio Maldonado,130,-140,130.0,71.42857143,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Light Heavyweight,MALE,3,1,0,0,1,1,6,0,0,0,0,1,0,0,1,Orthodox,185.42,190.5,205,0,2,0,2,3,12,0,0,0,0,2,1,0,3,Orthodox,182.88,193.04,205,33,32,-1,-2,-1,-2,2,-6,0,-1,-1,2.54,-2.54,1,63.33333333,1.8333333330000001,0.166666667,0,1,neither
3672,Jason MacDonald,Tom Lawlor,200,-220,200.0,45.45454545,5/15/2012,"Fairfax, Virginia, USA", USA,Blue,False,Middleweight,MALE,3,1,0,0,2,3,13,0,0,0,2,0,1,0,3,Southpaw,182.88,187.96,205,1,0,0,2,7,22,0,0,0,0,2,4,0,6,Orthodox,190.5,203.2,185,36,29,0,0,0,-3,4,-9,0,-2,-3,-7.62,-15.24,7,16.57692308,0.153846154,1.551282052,0,1,neither
3673,Brad Tavares,Dongi Yang,-160,150,62.5,150.0,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,1,2,8,0,0,0,0,1,0,0,1,Southpaw,177.8,180.34,185,1,0,0,2,1,7,0,0,0,1,1,0,0,2,Orthodox,185.42,187.96,185,24,27,0,0,-1,-1,-1,1,0,0,0,-7.62,-7.62,-3,35.0,0.666666667,0.333333334,0,1,neither
3674,Cody McKenzie,Marcus LeVesseur,170,-185,170.0,54.05405405,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,155,2,0,0,1,2,5,0,0,0,0,0,1,0,1,Switch,182.88,182.88,155,24,29,2,0,-1,-1,2,-5,0,0,-1,-7.62,-5.08,-5,-10.33333333,-1.0,-1.0,0,1,neither
3675,TJ Grant,Carlo Prater,-430,380,23.25581395,380.0,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,Switch,180.34,182.88,155,0,1,0,1,3,19,0,0,1,1,1,1,0,4,Orthodox,177.8,182.88,155,28,30,0,0,0,-3,3,-18,0,-1,-1,2.54,0.0,-2,-28.28571429,-0.571428571,-1.571428571,0,1,neither
3676,Rafael Dos Anjos,Kamal Shalorus,-365,328,27.39726027,328.0,5/15/2012,"Fairfax, Virginia, USA", USA,Red,False,Lightweight,MALE,3,2,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,155,1,0,0,3,4,21,0,0,0,2,1,1,0,4,Southpaw,172.72,177.8,170,27,39,-1,0,-3,-4,2,-15,0,-1,-1,0.0,-5.08,-12,-5.25,-1.0,-1.25,0,1,neither
3677,Jeff Curran,Johnny Eduardo,110,-120,110.0,83.33333333,5/15/2012,"Fairfax, Virginia, USA", USA,Blue,False,Bantamweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,135,2,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,135,34,33,1,0,0,0,1,-3,0,0,0,2.54,5.08,1,3.0,0.0,0.0,0,1,neither
3678,Alex Soto,Francisco Rivera,215,-235,215.0,42.55319149,5/15/2012,"Fairfax, Virginia, USA", USA,Blue,False,Bantamweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,135,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,172.72,180.34,135,28,30,0,0,0,0,0,2,0,0,0,0.0,-7.62,-2,16.0,3.0,0.0,0,1,neither
3679,Nate Diaz,Jim Miller,150,-160,150.0,62.5,5/5/2012,"East Rutherford, New Jersey, USA", USA,Red,False,Lightweight,MALE,5,0,1,0,7,2,29,0,0,0,4,2,4,0,10,Southpaw,172.72,180.34,155,0,2,0,5,5,34,1,0,1,1,1,7,0,10,Southpaw,182.88,193.04,170,27,28,0,-1,2,0,3,-5,-1,1,-3,-10.16,-12.7,-1,-20.73333333,1.05,0.65,0,1,neither
3680,Josh Koscheck,Johny Hendricks,123,-133,123.0,75.18796992,5/5/2012,"East Rutherford, New Jersey, USA", USA,Blue,False,Welterweight,MALE,3,0,3,0,4,1,17,0,1,1,1,4,0,0,7,Southpaw,175.26,175.26,185,0,2,0,5,5,44,1,0,1,5,6,3,0,15,Orthodox,177.8,185.42,170,34,28,0,1,-1,-8,4,-27,-1,-2,-3,-2.54,-10.16,6,9.15,0.275,0.95,0,1,neither
3681,Rousimar Palhares,Alan Belcher,-210,190,47.61904762,190.0,5/5/2012,"East Rutherford, New Jersey, USA", USA,Blue,False,Middleweight,MALE,3,0,3,0,3,4,24,0,0,1,0,3,3,1,8,Orthodox,187.96,185.42,185,0,3,0,3,2,17,0,0,0,2,0,5,0,7,Orthodox,172.72,180.34,170,32,28,0,0,0,1,-2,7,0,4,-2,15.24,5.08,4,12.52777778,-1.027777777,-1.111111111,0,1,neither
